in	ಇಂಚುಗಳು
ft	ಪೂಟ್
ft	ಪೀಟ್
ft	ಅಡಿ
yd	ಅಂಗಳ
µm	ಮೈಕ್ರೋಮೀಟರ್
µm	ಮೈಕ್ರೋ ಮೀಟರ್
m²	ವರ್ಗಮೀಟರ್
m²	ವರ್ಗ ಮೀಟರ್
cm²	ವರ್ಗಸೆಂಟಿಮೀಟರ್
cm²	ವರ್ಗ ಸೆಂಟಿಮೀಟರ್
mm²	ವರ್ಗಮಿಲಿಮೀಟರ್
mm²	ವರ್ಗ ಮಿಲಿಮೀಟರ್
km²	ವರ್ಗಕಿಲೋಮೀಟರ್
km²	ವರ್ಗ ಕಿಲೋಮೀಟರ್
hm²	ವರ್ಗಹೆಕ್ಟೋಮೀಟರ್
hm²	ವರ್ಗ ಹೆಕ್ಟೋಮೀಟರ್
dm²	ವರ್ಗಡೆಸಿಮೀಟರ್
dm²	ವರ್ಗ ಡೆಸಿಮೀಟರ್
dam²	ವರ್ಗಡೆಕಾಮೀಟರ್
dam²	ವರ್ಗ ಡೆಕಾಮೀಟರ್
yd²	ವರ್ಗಅಂಗಳ
yd²	ವರ್ಗ ಅಂಗಳ
ft²	ವರ್ಗ ಅಡಿಗಳು
ft²	ವರ್ಗ ಪೀಟ್
ft²	ವರ್ಗ ಅಡಿ
ac	ಎಕರೆ
mi²	ವರ್ಗಮೈಲಿ
mi²	ವರ್ಗ ಮೈಲಿ
nm²	ವರ್ಗನ್ಯಾನೋಮೀಟರ್
nm²	ವರ್ಗ ನ್ಯಾನೋಮೀಟರ್
µm²	ವರ್ಗಮೈಕ್ರೊಮೀಟರ್
µm²	ವರ್ಗ ಮೈಕ್ರೊಮೀಟರ್
in²	ವರ್ಗಇಂಚು
in²	ವರ್ಗ ಇಂಚು
mi³	ಘನಮೈಲಿ
mi³	ಘನ ಮೈಲಿ
ha	ಹೆಕ್ಟೇರ್
m³	ಘನಮೀಟರ್
m³	ಘನ ಮೀಟರ್
cm³	ಘನಸೆಂಟಿಮೀಟರ್
cm³	ಘನ ಸೆಂಟಿಮೀಟರ್
mm³	ಘನಮಿಲಿಮೀಟರ್
mm³	ಘನ ಮಿಲಿಮೀಟರ್
dam³	ಘನಡೆಕಾಮೀಟರ್
dam³	ಘನ ಡೆಕಾಮೀಟರ್
µm³	ಘನಮೈಕ್ರೋಮೀಟರ್
µm³	ಘನ ಮೈಕ್ರೋಮೀಟರ್
mL³	ಘನಮಿಲಿಲೀಟರ್
mL³	ಘನ ಮಿಲಿಲೀಟರ್
L	ಲೀಟರ್
kL	ಕಿಲೋಲೀಟರ್
kL	ಕಿಲೋ ಲೀಟರ್
mL	ಮಿಲಿಲೀಟರ್
mL	ಮಿಲಿ ಲೀಟರ್
mL²	ವರ್ಗಮಿಲಿಲೀಟರ್
mL²	ವರ್ಗ ಮಿಲಿಲೀಟರ್
dL	ಡೆಸಿಲಿಟರ್
dL	ಡೆಸಿ ಲೀಟರ್
hL	ಹೆಕ್ಟೋಲಿಟರ್
hL	ಹೆಕ್ಟೋ ಲೀಟರ್
cL	ಸೆಂಟಿಲಿಟರ್
cL	ಸೆಂಟಿ ಲಿಟರ್
daL	ಡೆಕಾಲಿಟರ್
daL	ಡೆಕಾ ಲೀಟರ್
dL²	ವರ್ಗಡೆಸಿಲಿಟರ್
dL²	ವರ್ಗ ಡೆಸಿಲಿಟರ್
daL²	ವರ್ಗಡೆಕಾಲಿಟರ್
daL²	ವರ್ಗ ಡೆಕಾಲೀಟರ್
dL³	ಘನ ಡೆಸಿಲಿಟರ್
dL³	ಘನ ಡೆಸಿ ಲೀಟರ್
daL³	ಘನಡೆಕಾಲಿಟರ್
daL³	ಘನ ಡೆಕಾಲೀಟರ್
GB	ಗಿಗಾಬೈಟ್
GB	ಗಿಗಾ ಬೈಟ್
in³	ಘನಇಂಚು
in³	ಘನ ಇಂಚು
ft³	ಘನಅಡಿ
ft³	ಘನ ಅಡಿ
yd³	ಘನಅಂಗಳ
yd³	ಘನ ಅಂಗಳ
mi³	ಘನಮೈಲಿ
mi³	ಘನ ಮೈಲಿ
dm³	ಘನಡೆಸಿಮೀಟರ್
dm³	ಘನ ಡೆಸಿಮೀಟರ್
km³	ಘನಕಿಲೋಮೀಟರ್
km³	ಘನ ಕಿಲೋಮೀಟರ್
nm³	ಘನನ್ಯಾನೋಮೀಟರ್
nm³	ಘನ ನ್ಯಾನೋಮೀಟರ್
mm³	ಘನಮಿಲಿಮೀಟರ್
mm³	ಘನ ಮಿಲಿಮೀಟರ್
qt	ಕಾಲುಭಾಗ
gal	ಗ್ಯಾಲನ್
pt	ಪಿಂಟ್
pt	ಪಾಯಿಂಟ್
W	ವ್ಯಾಟ್ಸ್
MW	ಮೆಗಾವ್ಯಾಟ್
MW	ಮೆಗಾ ವ್ಯಾಟ್ಸ್
KW	ಕಿಲೋವಾಟ್ಸ್
KW	ಕಿಲೋ ವ್ಯಾಟ್ಸ್
b	ಬಿಟ್
Mb	ಮೆಗಾಬಿಟ್
Mb	ಮೆಗಾ ಬಿಟ್
B	ಬೈಟ್
KB	ಕಿಲೋಬೈಟ್
KB	ಕಿಲೋ ಬೈಟ್
MB	ಮೆಗಾಬೈಟ್
MB	ಮೆಗಾ ಬೈಟ್
GB	ಗಿಗಾಬೈಟ್
GB	ಗಿಗಾ ಬೈಟ್
TB	ಟೆರಾಬೈಟ್
TB	ಟೆರಾ ಬೈಟ್
PB	ಪೆಟಾಬೈಟ್
PB	ಪೆಟಾ ಬೈಟ್
EB	ಎಕ್ಸಾಬೈಟ್
EB	ಎಕ್ಸಾ ಬೈಟ್
ZB	ಝೆಟಾಬೈಟ್
ZB	ಝೆಟಾ ಬೈಟ್
YB	ಯಾಟಾಬೈಟ್
YB	ಯಾಟಾ ಬೈಟ್
C	ಕೂಲಂಬ್
V	ವೋಲ್ಟ್
V	ವೋಲ್ಟ್‌ಗಳು
Pa	ಪಾಸ್ಕಲ್
A	ಆಂಪಿಯರ್
J	ಜೂಲ್
s	ಸೆಕೆಂಡ್
hr	ಗಂಟೆ
hrs	ಗಂಟೆಗಳು
min	ನಿಮಿಷ
ha	ಹೆಕ್ಟೇರ್
ha²	ವರ್ಗಹೆಕ್ಟೇರ್
ha²	ವರ್ಗ ಹೆಕ್ಟೇರ್
Ω	ಓಮ್
MΩ	ಮೆಗಾಓಮ್
MΩ	ಮೆಗಾ ಓಮ್
doz	ಡಜನ್
Hz	ಹರ್ಟ್ಜ್
GHz	ಗಿಗಾಹರ್ಟ್ಜ್
KHz	ಕಿಲೋಹರ್ಟ್ಜ್
N	ನ್ಯೂಟನ್
dB	ಡೆಸಿಬಲ್
yr	ವರ್ಷ
hp	ಹಾರ್ಸ್ಪವರ್
hp	ಹಾರ್ಸ್ ಪವರ್
d	ದಿನಗಳು
d	ದಿನ
mo	ತಿಂಗಳು
CT	ಕ್ಯಾರೆಟ್
pH	ಪಿ ಎಚ್ 
km/h	ಕಿಲೋಮೀಟರ್ ಪ್ರತಿ ಗಂಟೆಗೆ
km/m	ಕಿಲೋಮೀಟರ್ ಪ್ರತಿ ನಿಮಿಷಕ್ಕೆ
km/s	ಕಿಲೋಮೀಟರ್ ಪ್ರತಿ ಸೆಕೆಂಡಿಗೆ
mi/h	ಮೈಲ್ ಪ್ರತಿ ಗಂಟೆಗೆ
mi/m	ಮೈಲ್ ಪ್ರತಿ ನಿಮಿಷಕ್ಕೆ
mi/s	ಮೈಲ್ ಪ್ರತಿ ಸೆಕೆಂಡಿಗೆ
₹/ac	ರೂಪಾಯಿ ಪ್ರತಿ ಎಕರೆಗೆ
